id,count,group,cohort ,pf
11,30.16666667,1,1,75
12,30.83333333,1,1,50
21,64.25,3,1,0
22,104.3333333,3,1,25
31,31,2,1,100
32,43.33333333,2,1,50
41,75.33333333,3,1,50
42,54.66666667,3,1,25
51,40.16666667,2,1,100
52,58.5,2,1,100
61,47.83333333,3,1,25
62,176.3333333,3,1,50
71,56.66666667,2,1,100
72,121.1666667,2,1,50
91,38.25,1,1,25
92,143.6666667,1,1,100
111,2,1,1,75
112,74.83333333,1,1,100
11,13.5,1,2,25
12,15.16666667,1,2,25
21,57,2,2,100
22,27.83333333,2,2,0
31,33.16666667,1,2,75
32,26.33333333,1,2,100
41,8.5,2,2,75
42,36.5,2,2,75
51,23,3,2,0
52,23.5,3,2,100
61,15.83333333,3,2,25
62,10.75,3,2,25
